iter	Logloss
0	0.6917465339
1	0.6903663298
2	0.6893726355
3	0.6872799891
4	0.6859457648
5	0.6845281146
6	0.6823469121
7	0.6800107387
8	0.6791946258
9	0.6780704514
10	0.6770484271
11	0.6759387412
12	0.6751720113
13	0.6748316889
14	0.6726823001
15	0.6720722244
16	0.6715717675
17	0.6701903933
18	0.6695211263
19	0.6686576227
20	0.6678153956
21	0.6675044462
22	0.6672567235
23	0.6658117535
24	0.6655339705
25	0.6642052926
26	0.6630623341
27	0.6619616906
28	0.6615430677
29	0.6615301069
30	0.6608015691
31	0.660167049
32	0.6598127708
33	0.6592369313
34	0.659130016
35	0.6581164071
36	0.6571239929
37	0.6564401696
38	0.6561879232
39	0.6559494384
40	0.6558232449
41	0.6549583327
42	0.6545908441
43	0.6544680228
44	0.6539807781
45	0.6535664721
46	0.6534587701
47	0.6529597002
48	0.6522947016
49	0.651957704
50	0.6516366637
51	0.650662037
52	0.6506613893
53	0.6506519412
54	0.6497508124
55	0.6492440025
56	0.6489611177
57	0.6481864207
58	0.6477812314
59	0.6473668972
60	0.6463933829
61	0.6458118187
62	0.6452755357
63	0.6449080781
64	0.6445398707
65	0.6442194395
66	0.6435628157
67	0.6430318565
68	0.642915609
69	0.6424047036
70	0.6415908886
71	0.6413228913
72	0.6411122861
73	0.6397754594
74	0.6390327741
75	0.6387783366
76	0.6385069584
77	0.6375831045
78	0.6372234849
79	0.6361598153
80	0.6357301634
81	0.6356969783
82	0.6347212715
83	0.6339682701
84	0.6335976651
85	0.6335976056
86	0.6331291381
87	0.6330968049
88	0.63271335
89	0.6321847621
90	0.6321801278
91	0.6317599507
92	0.631249329
93	0.6312344387
94	0.6310317385
95	0.6302649975
96	0.6295833644
97	0.6293204406
98	0.6291913789
99	0.6280391511
