iter	Passed	Remaining
0	59	5848
1	59	2933
2	61	1996
3	62	1504
4	63	1206
5	65	1020
6	66	884
7	68	782
8	68	697
9	69	629
10	71	576
11	71	526
12	72	485
13	73	449
14	74	422
15	75	395
16	75	368
17	76	348
18	77	328
19	77	310
20	78	295
21	79	280
22	79	266
23	80	254
24	80	241
25	81	233
26	82	223
27	83	214
28	83	205
29	84	198
30	85	190
31	88	187
32	88	180
33	89	173
34	89	166
35	90	160
36	90	154
37	91	149
38	91	143
39	92	138
40	92	133
41	93	128
42	93	123
43	94	119
44	95	116
45	95	112
46	96	108
47	96	104
48	97	101
49	98	98
50	98	94
51	99	91
52	99	88
53	99	84
54	100	81
55	100	79
56	101	76
57	101	73
58	102	71
59	102	68
60	103	66
61	103	63
62	104	61
63	104	58
64	105	56
65	105	54
66	106	52
67	106	50
68	107	48
69	108	46
70	108	44
71	109	42
72	109	40
73	110	38
74	110	36
75	110	35
76	111	33
77	111	31
78	112	29
79	112	28
80	113	26
81	113	24
82	114	23
83	114	21
84	115	20
85	115	18
86	116	17
87	116	15
88	117	14
89	117	13
90	117	11
91	118	10
92	118	8
93	119	7
94	120	6
95	121	5
96	121	3
97	122	2
98	122	1
99	124	0
