Latitude,Longitude,Crash Type
35.87072,-88.02357,Property Damage
35.63853,-88.18884,Property Damage
35.8173,-88.1895,Property Damage
35.63832,-88.19059,Property Damage
35.81677,-88.19157,Property Damage
35.81699,-88.19182,Property Damage
35.64283,-88.1928,Property Damage
35.81682,-88.19295,Property Damage
35.63755,-88.19411,Property Damage
35.81625,-88.19503,Property Damage
35.8163,-88.19625,Property Damage
35.63702,-88.1967,Property Damage
35.67813,-88.19883,Property Damage
35.63633,-88.19961,Property Damage
35.59599,-88.20081,Property Damage
35.81553,-88.20142,Property Damage
35.62759,-88.2016,Property Damage
35.81512,-88.2048,Property Damage
35.81511,-88.20498,Property Damage
35.81511,-88.20501,Property Damage
35.81508,-88.20513,Property Damage
35.81499,-88.20707,Property Damage
35.81496,-88.20865,Property Damage
35.81494,-88.2099,Property Damage
35.77133,-88.21179,Property Damage
35.61896,-88.21185,Property Damage
35.81506,-88.2122,Property Damage
35.81507,-88.21231,Property Damage
35.61088,-88.21337,Property Damage
35.61,-88.21353,Property Damage
35.60854,-88.21377,Property Damage
35.60891,-88.21378,Property Damage
35.63505,-88.21442,Property Damage
35.60827,-88.21496,Property Damage
35.81432,-88.21501,Property Damage
35.81566,-88.2185,Property Damage
35.81568,-88.21857,Property Damage
35.81571,-88.21903,Property Damage
35.81455,-88.21915,Property Damage
35.81473,-88.21933,Property Damage
35.81576,-88.2194,Property Damage
35.81458,-88.21941,Property Damage
35.81458,-88.21944,Property Damage
35.81459,-88.21956,Property Damage
35.59499,-88.22001,Property Damage
35.60857,-88.22002,Property Damage
35.59509,-88.22082,Property Damage
35.6868,-88.22218,Property Damage
35.638,-88.223,Property Damage
35.8151,-88.22381,Property Damage
35.63859,-88.22468,Property Damage
35.8165,-88.22702,Property Damage
35.64021,-88.22976,Property Damage
35.81564,-88.2301,Property Damage
35.81684,-88.23026,Property Damage
35.64063,-88.23128,Property Damage
35.81698,-88.23164,Property Damage
35.64078,-88.2318,Property Damage
35.64068,-88.23186,Property Damage
35.64578,-88.23235,Property Damage
35.64108,-88.23324,Property Damage
35.81603,-88.23404,Property Damage
35.81604,-88.23414,Property Damage
35.81614,-88.23507,Property Damage
35.81753,-88.23716,Property Damage
35.81755,-88.23732,Property Damage
35.81755,-88.23739,Property Damage
35.55017,-88.23748,Property Damage
35.54968,-88.23749,Property Damage
35.8176,-88.23788,Property Damage
35.81759,-88.23796,Property Damage
35.81647,-88.23835,Property Damage
35.54655,-88.23856,Property Damage
35.64475,-88.23925,Property Damage
35.54577,-88.23946,Property Damage
35.81792,-88.24106,Property Damage
35.81801,-88.24196,Property Damage
35.81802,-88.24219,Property Damage
35.64034,-88.24225,Property Damage
35.81823,-88.24408,Property Damage
35.76893,-88.24482,Property Damage
35.51527,-88.24554,Property Damage
35.59841,-88.2465,Property Damage
35.57436,-88.248,Property Damage
35.57457,-88.24819,Property Damage
35.48175,-88.24833,Property Damage
35.52578,-88.24967,Property Damage
35.81762,-88.24986,Property Damage
35.63926,-88.25073,Property Damage
35.54204,-88.25085,Property Damage
35.53806,-88.25142,Property Damage
35.81733,-88.25206,Property Damage
35.52479,-88.25223,Property Damage
35.5248,-88.25224,Property Damage
35.5248,-88.25228,Property Damage
35.52496,-88.25242,Property Damage
35.58812,-88.25291,Property Damage
35.58039,-88.25331,Property Damage
35.81745,-88.25332,Property Damage
35.58433,-88.25342,Property Damage
35.43075,-88.25355,Property Damage
35.59045,-88.25439,Property Damage
35.51178,-88.2545,Property Damage
35.51073,-88.25476,Property Damage
35.63856,-88.25756,Property Damage
35.52265,-88.26147,Property Damage
35.59494,-88.26217,Property Damage
35.81899,-88.26315,Property Damage
35.51282,-88.26377,Property Damage
35.81843,-88.26406,Property Damage
35.59444,-88.26449,Property Damage
35.8186,-88.26488,Property Damage
35.81829,-88.265,Property Damage
35.48274,-88.26503,Property Damage
35.81853,-88.26509,Property Damage
35.81841,-88.26564,Property Damage
35.81839,-88.26574,Property Damage
35.81813,-88.26581,Property Damage
35.81809,-88.26705,Property Damage
35.59398,-88.2671,Property Damage
35.81784,-88.26714,Property Damage
35.63635,-88.26739,Property Damage
35.5598,-88.2675,Property Damage
35.6375,-88.2676,Property Damage
35.81765,-88.26795,Property Damage
35.81789,-88.26803,Property Damage
35.52114,-88.26813,Property Damage
35.81749,-88.26867,Property Damage
35.81772,-88.26877,Property Damage
35.81772,-88.26879,Property Damage
35.63582,-88.26992,Property Damage
35.42262,-88.27018,Property Damage
35.59548,-88.27047,Property Damage
35.59558,-88.27059,Property Damage
35.81714,-88.27134,Property Damage
35.63545,-88.27167,Property Damage
35.60388,-88.27243,Property Damage
35.61836,-88.27246,Property Damage
35.61803,-88.27248,Property Damage
35.81684,-88.27264,Property Damage
35.81681,-88.27277,Property Damage
35.76883,-88.27306,Property Damage
35.64513,-88.2732,Property Damage
35.51987,-88.27383,Property Damage
35.81624,-88.27427,Property Damage
35.51975,-88.27433,Property Damage
35.48027,-88.27452,Property Damage
35.60766,-88.27462,Property Damage
35.50865,-88.27484,Property Damage
35.81626,-88.27529,Property Damage
35.65494,-88.27567,Property Damage
35.81582,-88.27609,Property Damage
35.6344,-88.27637,Property Damage
35.64736,-88.2767,Property Damage
35.577,-88.277,Property Damage
35.64812,-88.27731,Property Damage
35.55162,-88.27772,Property Damage
35.46511,-88.2781,Property Damage
35.63377,-88.27855,Property Damage
35.63369,-88.27899,Property Damage
35.47046,-88.27942,Property Damage
35.43612,-88.28121,Property Damage
35.77024,-88.28136,Property Damage
35.55506,-88.28155,Property Damage
35.49651,-88.28257,Property Damage
35.49569,-88.28287,Property Damage
35.81407,-88.28368,Property Damage
35.81385,-88.28598,Property Damage
35.81353,-88.28639,Property Damage
35.49341,-88.28865,Property Damage
35.63159,-88.28921,Property Damage
35.63118,-88.29012,Property Damage
35.51616,-88.29024,Property Damage
35.53786,-88.29099,Property Damage
35.51599,-88.29099,Property Damage
35.75814,-88.29271,Property Damage
35.81209,-88.29279,Property Damage
35.81202,-88.29313,Property Damage
35.59825,-88.29327,Property Damage
35.51544,-88.2934,Property Damage
35.63058,-88.29402,Property Damage
35.44206,-88.29414,Property Damage
35.70848,-88.29547,Property Damage
35.63017,-88.29576,Property Damage
35.62993,-88.29689,Property Damage
35.4432,-88.29768,Property Damage
35.45456,-88.29925,Property Damage
35.45902,-88.30075,Property Damage
35.62853,-88.30202,Property Damage
35.62855,-88.30327,Property Damage
35.80967,-88.30353,Property Damage
35.46399,-88.30358,Property Damage
35.5131,-88.30385,Property Damage
35.46871,-88.30462,Property Damage
35.46621,-88.30495,Property Damage
35.80945,-88.30566,Property Damage
35.51265,-88.30577,Property Damage
35.68388,-88.30609,Property Damage
35.53232,-88.30614,Property Damage
35.46782,-88.30626,Property Damage
35.46818,-88.30657,Property Damage
35.80896,-88.30658,Property Damage
35.80895,-88.30663,Property Damage
35.80915,-88.30684,Property Damage
35.80898,-88.30692,Property Damage
35.53171,-88.30776,Property Damage
35.73718,-88.30848,Property Damage
35.62812,-88.30946,Property Damage
35.52982,-88.30985,Property Damage
35.53007,-88.3099,Property Damage
35.80744,-88.31132,Property Damage
35.62851,-88.31204,Property Damage
35.47256,-88.31214,Property Damage
35.8068,-88.31397,Property Damage
35.55524,-88.31404,Property Damage
35.45027,-88.31434,Property Damage
35.57304,-88.31504,Property Damage
35.50605,-88.31574,Property Damage
35.5781,-88.31612,Property Damage
35.80604,-88.31617,Property Damage
35.80566,-88.31649,Property Damage
35.80577,-88.31697,Property Damage
35.69949,-88.31704,Property Damage
35.50583,-88.31931,Property Damage
35.8046,-88.31963,Property Damage
35.56672,-88.31985,Property Damage
35.5667,-88.31989,Property Damage
35.80444,-88.32017,Property Damage
35.50568,-88.32027,Property Damage
35.69815,-88.32108,Property Damage
35.80428,-88.32182,Property Damage
35.80417,-88.32246,Property Damage
35.63049,-88.32277,Property Damage
35.63028,-88.32282,Property Damage
35.50878,-88.32288,Property Damage
35.80485,-88.323,Property Damage
35.80409,-88.32305,Property Damage
35.51274,-88.32325,Property Damage
35.50882,-88.32326,Property Damage
35.8039,-88.3233,Property Damage
35.63069,-88.32367,Property Damage
35.5085,-88.3237,Property Damage
35.50858,-88.32372,Property Damage
35.804,-88.324,Property Damage
35.80394,-88.32407,Property Damage
35.50408,-88.32436,Property Damage
35.48673,-88.32475,Property Damage
35.57001,-88.32531,Property Damage
35.49832,-88.32562,Property Damage
35.48943,-88.32606,Property Damage
35.49553,-88.32708,Property Damage
35.80324,-88.32719,Property Damage
35.50752,-88.32842,Property Damage
35.59112,-88.32858,Property Damage
35.80311,-88.3292,Property Damage
35.80315,-88.32965,Property Damage
35.80287,-88.32992,Property Damage
35.8031,-88.32999,Property Damage
35.80305,-88.33041,Property Damage
35.80517,-88.33057,Property Damage
35.74204,-88.33095,Property Damage
35.439,-88.33111,Property Damage
35.50686,-88.33154,Property Damage
35.80271,-88.3327,Property Damage
35.63281,-88.33271,Property Damage
35.80243,-88.33294,Property Damage
35.50649,-88.33302,Property Damage
35.58664,-88.33377,Property Damage
35.46004,-88.33429,Property Damage
35.60801,-88.33541,Property Damage
