Latitude,Longitude,Crash Type,geometry,Presence of guardrails,Cable barriers,Rumble strips,Pavement condition,Proximity to highway entrances and exits,Urban vs. rural environment,Surrounding natural features,Number of lanes,Shoulder type and width,Posted speed limit,Presence and type of median or divider,Lane markings and signage visibility,Nighttime lighting and visibility
35.87072,-88.02357,Property Damage,POINT (-88.02357 35.87072),none,none,none,none,0,none,none,none,none,none,none,none,none
35.8173,-88.1895,Property Damage,POINT (-88.18949999999998 35.8173),none,none,none,none,0,none,none,none,none,none,none,none,none
35.8173,-88.1895,Property Damage,POINT (-88.18949999999998 35.8173),none,none,none,none,0,none,none,none,none,none,none,none,none
35.81677,-88.19157,Property Damage,POINT (-88.19157 35.81676999999999),none,none,none,none,0,none,none,none,none,none,none,none,none
35.81699,-88.19182,Property Damage,POINT (-88.19182 35.81699),none,none,none,none,0,none,none,none,none,none,none,none,none
35.81682,-88.19295,Property Damage,POINT (-88.19294999999998 35.81681999999999),none,none,none,none,0,none,none,none,none,none,none,none,none
35.81625,-88.19503,Property Damage,POINT (-88.19503 35.816250000000004),none,none,none,none,0,none,none,none,none,none,none,none,none
35.8163,-88.19625,Property Damage,POINT (-88.19624999999999 35.8163),none,none,none,none,0,none,none,none,none,none,none,none,none
35.81553,-88.20142,Property Damage,POINT (-88.20142 35.81553),1,0,2,2,0,0,0,2,2,4,2,2,0
35.81512,-88.2048,Property Damage,POINT (-88.20479999999999 35.81511999999999),1,0,2,2,0,0,0,2,2,4,2,2,0
35.81511,-88.20498,Property Damage,POINT (-88.20497999999999 35.81510999999999),0,0,2,2,0,0,0,2,2,4,2,2,0
35.81511,-88.20501,Property Damage,POINT (-88.20500999999999 35.81510999999999),0,0,2,2,0,0,0,2,2,4,2,2,0
35.81508,-88.20513,Property Damage,POINT (-88.20513 35.815079999999995),0,0,2,2,0,0,0,2,2,4,2,2,0
35.81499,-88.20707,Property Damage,POINT (-88.20706999999999 35.814989999999995),2,0,2,2,0,0,0,2,2,4,4,2,0
35.81496,-88.20865,Property Damage,POINT (-88.20864999999999 35.81496),2,0,2,2,0,0,0,2,2,4,4,2,0
35.81494,-88.2099,Property Damage,POINT (-88.20989999999999 35.81494),2,0,2,2,0,0,0,2,2,4,4,2,0
35.81432,-88.21501,Property Damage,POINT (-88.21500999999999 35.814319999999995),2,0,2,2,0,0,0,2,2,4,4,2,0
35.81455,-88.21915,Property Damage,POINT (-88.21915000000001 35.81455),0,0,2,2,0,0,0,2,2,4,2,2,0
35.81473,-88.21933,Property Damage,POINT (-88.21933 35.81472999999999),0,0,2,2,0,0,0,2,2,4,2,2,0
35.81458,-88.21941,Property Damage,POINT (-88.21941 35.81458),0,0,2,2,0,0,0,2,2,4,2,2,0
35.81458,-88.21944,Property Damage,POINT (-88.21943999999999 35.81458),0,0,2,2,0,0,0,2,2,4,2,2,0
35.81459,-88.21956,Property Damage,POINT (-88.21956 35.814589999999995),0,0,2,2,0,0,0,2,2,4,2,2,0
35.8151,-88.22381,Property Damage,POINT (-88.22381 35.81510000000001),2,0,2,2,0,0,0,2,2,4,4,2,0
35.81564,-88.2301,Property Damage,POINT (-88.23009999999998 35.81564000000001),0,0,2,2,0,0,0,2,2,4,2,2,0
35.81603,-88.23404,Property Damage,POINT (-88.23403999999998 35.81603),1,0,2,2,0,0,0,2,2,4,2,2,0
35.81604,-88.23414,Property Damage,POINT (-88.23414000000001 35.81604),1,0,2,2,0,0,0,2,2,4,2,2,0
35.81614,-88.23507,Property Damage,POINT (-88.23506999999998 35.81613999999998),0,0,2,2,0,0,0,2,2,4,2,2,0
35.81647,-88.23835,Property Damage,POINT (-88.23835 35.816469999999995),0,0,2,2,0,0,0,2,2,4,2,2,0
35.81762,-88.24986,Property Damage,POINT (-88.24986 35.81761999999999),0,0,2,2,MC,0,0,2,2,4,4,2,0
35.81733,-88.25206,Property Damage,POINT (-88.25206 35.81733),0,0,2,2,MC,0,0,2,2,4,4,2,0
35.81745,-88.25332,Property Damage,POINT (-88.25331999999999 35.81745),0,0,2,2,MC,0,0,2,2,4,4,2,0
35.81899,-88.26315,Property Damage,POINT (-88.26315 35.81899),0,1,2,2,0,0,0,2,2,4,4,2,0
35.81843,-88.26406,Property Damage,POINT (-88.26406 35.81842999999999),0,1,2,2,0,0,0,2,2,4,4,2,0
35.8186,-88.26488,Property Damage,POINT (-88.26488 35.8186),1,1,2,2,0,0,0,2,2,4,4,2,0
35.81829,-88.265,Property Damage,POINT (-88.265 35.81828999999999),1,1,2,2,0,0,0,2,2,4,4,2,0
35.81853,-88.26509,Property Damage,POINT (-88.26509 35.81853),1,1,2,2,0,0,0,2,2,4,4,2,0
35.81841,-88.26564,Property Damage,POINT (-88.26564 35.81840999999999),1,1,2,2,0,0,0,2,2,4,4,2,0
35.81839,-88.26574,Property Damage,POINT (-88.26574 35.81839),1,1,2,2,0,0,0,2,2,4,4,2,0
35.81813,-88.26581,Property Damage,POINT (-88.26580999999999 35.81813),1,1,2,2,0,0,0,2,2,4,4,2,0
35.81809,-88.26705,Property Damage,POINT (-88.26704999999998 35.81809),1,1,2,4,0,0,0,2,2,4,4,2,0
35.81784,-88.26714,Property Damage,POINT (-88.26713999999998 35.81783999999998),1,1,2,4,0,0,0,2,2,4,4,2,0
35.81765,-88.26795,Property Damage,POINT (-88.26795 35.81764999999999),1,1,2,4,0,0,0,2,2,4,4,2,0
35.81789,-88.26803,Property Damage,POINT (-88.26803 35.81788999999999),1,1,2,4,0,0,0,2,2,4,4,2,0
35.81749,-88.26867,Property Damage,POINT (-88.26867 35.81749000000001),1,1,2,4,0,0,0,2,2,4,4,2,0
35.81772,-88.26877,Property Damage,POINT (-88.26876999999999 35.81772),1,1,2,4,0,0,0,2,2,4,4,2,0
35.81772,-88.26879,Property Damage,POINT (-88.26879 35.81772),1,1,2,4,0,0,0,2,2,4,4,2,0
35.81714,-88.27134,Property Damage,POINT (-88.27133999999998 35.817139999999995),1,1,2,4,0,0,0,2,2,4,4,2,0
35.81684,-88.27264,Property Damage,POINT (-88.27263999999998 35.81683999999999),1,1,2,4,0,0,0,2,2,4,4,2,0
35.81681,-88.27277,Property Damage,POINT (-88.27277 35.81681),1,1,2,4,0,0,0,2,2,4,4,2,0
35.81624,-88.27427,Property Damage,POINT (-88.27426999999999 35.81624),1,1,2,4,0,0,0,2,2,4,4,2,0
35.81626,-88.27529,Property Damage,POINT (-88.27529 35.81626),0,1,2,4,0,0,0,2,2,4,4,2,0
35.81582,-88.27609,Property Damage,POINT (-88.27609 35.815819999999995),0,1,2,4,0,0,0,2,2,4,4,2,0
35.81407,-88.28368,Property Damage,POINT (-88.28367999999999 35.81407),1,1,2,3,0,0,0,2,2,4,4,2,0
35.81385,-88.28598,Property Damage,POINT (-88.28597999999998 35.813849999999995),1,1,2,3,0,0,0,2,2,4,4,2,0
35.81353,-88.28639,Property Damage,POINT (-88.28639 35.81352999999999),1,1,2,3,0,0,0,2,2,4,4,2,0
35.81209,-88.29279,Property Damage,POINT (-88.29278999999998 35.81208999999999),0,1,2,3,0,0,0,2,2,4,4,2,0
35.81202,-88.29313,Property Damage,POINT (-88.29312999999999 35.81202),0,1,2,3,0,0,0,2,2,4,4,2,0
35.80967,-88.30353,Property Damage,POINT (-88.30352999999998 35.80966999999999),0,1,2,3,0,0,0,2,2,4,4,2,0
35.80945,-88.30566,Property Damage,POINT (-88.30565999999999 35.80945),1,1,2,3,0,0,0,2,2,4,4,2,0
35.80896,-88.30658,Property Damage,POINT (-88.30658000000001 35.80896),0,0,2,3,0,0,0,2,2,4,2,2,0
35.80895,-88.30663,Property Damage,POINT (-88.30663 35.80895),0,0,2,3,0,0,0,2,2,4,2,2,0
35.80915,-88.30684,Property Damage,POINT (-88.30684000000001 35.80915),0,0,2,3,0,0,0,2,2,4,2,2,0
35.80898,-88.30692,Property Damage,POINT (-88.30692000000002 35.80898),0,0,2,3,0,0,0,2,2,4,2,2,0
35.80744,-88.31132,Property Damage,POINT (-88.31131999999998 35.80743999999999),0,0,2,3,0,0,0,2,2,4,2,2,0
35.8068,-88.31397,Property Damage,POINT (-88.31396999999998 35.806799999999996),0,0,2,3,0,0,0,2,2,4,2,2,0
35.80604,-88.31617,Property Damage,POINT (-88.31617 35.806039999999996),1,0,2,3,0,0,0,2,2,4,2,2,0
35.80566,-88.31649,Property Damage,POINT (-88.31648999999999 35.80566),1,0,2,3,0,0,0,2,2,4,2,2,0
35.80577,-88.31697,Property Damage,POINT (-88.31697 35.80577),1,0,2,3,0,0,0,2,2,4,2,2,0
35.8046,-88.31963,Property Damage,POINT (-88.31962999999999 35.80459999999999),0,0,2,3,0,0,0,2,2,4,2,2,0
35.80444,-88.32017,Property Damage,POINT (-88.32017 35.80443999999999),0,0,2,3,0,0,0,2,2,4,2,2,0
35.80428,-88.32182,Property Damage,POINT (-88.32182 35.80427999999999),0,0,2,3,0,0,0,2,2,4,2,2,0
35.80417,-88.32246,Property Damage,POINT (-88.32246 35.80417),0,0,2,3,0,0,0,2,2,4,2,2,0
35.80409,-88.32305,Property Damage,POINT (-88.32305 35.80409000000001),0,0,2,3,0,0,0,2,2,4,2,2,0
35.8039,-88.3233,Property Damage,POINT (-88.3233 35.8039),0,0,2,3,0,0,0,2,2,4,2,2,0
35.804,-88.324,Property Damage,POINT (-88.324 35.804),1,0,2,3,0,0,0,2,2,4,2,2,0
35.80394,-88.32407,Property Damage,POINT (-88.32407 35.80393999999999),1,0,2,3,0,0,0,2,2,4,2,2,0
35.80324,-88.32719,Property Damage,POINT (-88.32719 35.80324),1,0,2,3,0,0,0,2,2,4,2,2,0
35.80311,-88.3292,Property Damage,POINT (-88.3292 35.80310999999998),2,0,2,3,0,0,0,2,2,4,4,2,0
35.80315,-88.32965,Property Damage,POINT (-88.32964999999999 35.80315),2,0,2,3,0,0,0,2,2,4,4,2,0
35.80287,-88.32992,Property Damage,POINT (-88.32991999999999 35.80287),2,0,2,3,0,0,0,2,2,4,4,2,0
35.8031,-88.32999,Property Damage,POINT (-88.32998999999998 35.8031),2,0,2,3,0,0,0,2,2,4,4,2,0
35.80305,-88.33041,Property Damage,POINT (-88.33041 35.80305),0,0,2,3,0,0,0,2,2,4,4,2,0
35.80271,-88.3327,Property Damage,POINT (-88.3327 35.802710000000005),0,0,2,3,0,0,0,2,2,4,2,2,0
35.80243,-88.33294,Property Damage,POINT (-88.33294 35.80243),0,0,2,3,0,0,0,2,2,4,2,2,0
