Latitude_adj,Longitude_adj,Agency Name,Collision_Date_Tooltip,Collision_DOW,Collision_Time_adj,Crash_Desc,Crash_Type (group),Day of Collision Date,First_Harmfu_Event (group),Light_Condition (group),Month of Collision Date,MRN1,Tooltip_DriverAge,Tooltip_DriverFactor,Tooltip_NM,Tooltip_Vehicle,Weather (group),Work_Zone_adj,Year of Collision Date,SUM([Injury]+[Fatality]),Weather_Fetched,Road_Wetness_Level,Presence of guardrails,Cable barriers,Rumble strips,Pavement condition,Proximity to highway entrances and exits,Urban vs. rural environment,Surrounding natural features,Number of lanes,Shoulder type and width,Posted speed limit,Presence and type of median or divider,Lane markings and signage visibility,Nighttime lighting and visibility
35.72703,-88.60495,THP District 8 - Jackson,"Tuesday, April 29, 2025 @ 16:27",Tuesday,16:27,Suspected Serious Injury (1 injury/ies),Serious Injury,29,Guard Rail End,Daylight,April,400252540,,,,,"Null, Other, Unknown",Unknown|Not Work Zone,2025,1,Clear,0 - Dry,1,0,2,1,0,0,0,2,2,4,2,2,0
35.76548,-88.46817,THP District 8 - Jackson,"Wednesday, April 23, 2025 @  1:05",Wednesday, 1:05,Suspected Serious Injury (1 injury/ies),Serious Injury,23,Motor Vehicle-In-Transport On Same Roadway,Dark-Not Lighted,April,400249398,Senior (65-99),,,Large Truck,"Null, Other, Unknown",Unknown|Not Work Zone,2025,1,Clear,0 - Dry,0,0,2,3,0,0,0,3,2,4,2,3,0
35.81541,-88.21621,THP District 8 - Jackson,"Friday, March 28, 2025 @ 16:13",Friday,16:13,Suspected Serious Injury (1 injury/ies),Serious Injury,28,Motor Vehicle-In-Transport On Same Roadway,Daylight,March,400238363,,Unbelted Occupant,,"Large Truck, Motorcycle","Null, Other, Unknown",Unknown|Not Work Zone,2025,1,Clear,0 - Dry,2,0,2,2,0,0,0,2,2,4,4,2,0
35.66069,-88.86305,THP District 8 - Jackson,"Monday, March 24, 2025 @ 18:03",Monday,18:03,Suspected Serious Injury (1 injury/ies),Serious Injury,24,Concrete Traffic Barrier,Daylight,March,400236405,,"Drunk Driver, Driver Used Drug",,,"Null, Other, Unknown",Unknown|Not Work Zone,2025,1,Clear,1 - Damp,1,0,2,4,0,0,0,3,2,3,3,3,2
35.66574,-88.84824,THP District 8 - Jackson,"Tuesday, March 4, 2025 @ 14:27",Tuesday,14:27,Suspected Serious Injury (2 injury/ies),Serious Injury,4,Motor Vehicle-In-Transport On Same Roadway,Daylight,March,400229429,,,,Large Truck,"Null, Other, Unknown",Maintenance Zone,2025,2,Partially cloudy,0 - Dry,1,0,2,4,1,1,0,3,2,3,3,3,2
35.72966,-88.59744,THP District 8 - Jackson,"Friday, February 21, 2025 @  6:45",Friday, 6:45,Suspected Serious Injury (2 injury/ies),Serious Injury,21,Motor Vehicle-In-Transport On Same Roadway,Daylight,February,400223088,,,,Large Truck,"Null, Other, Unknown",Unknown|Not Work Zone,2025,2,Clear,0 - Dry,0,0,2,1,0,0,0,2,2,4,2,2,0
35.64122,-88.92117,THP District 8 - Jackson,"Monday, February 17, 2025 @ 15:33",Monday,15:33,Suspected Serious Injury (1 injury/ies),Serious Injury,17,Motor Vehicle-In-Transport On Same Roadway,Daylight,February,400221582,,,,,"Null, Other, Unknown",Unknown|Not Work Zone,2025,1,Clear,0 - Dry,0,1,2,3,1,0,0,2,2,4,2,3,0
35.81595,-88.19869,THP District 8 - Jackson,"Friday, February 14, 2025 @ 17:43",Friday,17:43,Suspected Serious Injury (1 injury/ies),Serious Injury,14,Motor Vehicle-In-Transport On Same Roadway,Dark-Not Lighted,February,400220584,,,,Large Truck,"Null, Other, Unknown",Unknown|Not Work Zone,2025,1,Overcast,0 - Dry,1,0,2,2,0,0,0,2,2,4,2,2,0
35.68085,-88.76756,THP District 8 - Jackson,"Tuesday, February 11, 2025 @  8:23",Tuesday, 8:23,Suspected Serious Injury (1 injury/ies),Serious Injury,11,Motor Vehicle-In-Transport On Same Roadway,Dark-Lighted,February,400219159,,,,Large Truck,"Null, Other, Unknown",Unknown|Not Work Zone,2025,1,"Rain, Overcast",1 - Damp,1,0,2,4,1,0,0,3,2,3,3,3,2
35.7173,-88.63581,THP District 8 - Jackson,"Friday, November 22, 2024 @  5:02",Friday, 5:02,Suspected Serious Injury (1 injury/ies),Serious Injury,22,Motor Vehicle-In-Transport On Same Roadway,Dark-Not Lighted,November,400183986,,Unbelted Occupant,,Large Truck,"Null, Other, Unknown",Unknown|Not Work Zone,2024,1,Partially cloudy,0 - Dry,0,1,2,1,1,0,0,2,4,4,2,2,0
35.62082,-88.98893,THP District 8 - Jackson,"Sunday, October 20, 2024 @ 22:49",Sunday,22:49,Suspected Serious Injury (1 injury/ies),Serious Injury,20,Motor Vehicle-In-Transport On Same Roadway,Dark-Not Lighted,October,400165406,,"Drunk Driver, Driver Used Drug, Unbelted Occupant",,,"Null, Other, Unknown",Unknown|Not Work Zone,2024,1,Clear,0 - Dry,0,1,2,3,0,0,0,2,2,4,2,3,0
